rest_type,location,name
Quick Bites,Brigade Road,315
Quick Bites,Brookefield,309
Quick Bites,Church Street,94
Quick Bites,Commercial Street,143
Quick Bites,Cunningham Road,76
Quick Bites,Domlur,146
Quick Bites,Ejipura,301
Quick Bites,Electronic City,562
Quick Bites,Frazer Town,301
Quick Bites,HSR,931
Quick Bites,Indiranagar,488
Quick Bites,JP Nagar,700
Quick Bites,Jayanagar,733
Quick Bites,Kalyan Nagar,245
Quick Bites,Kammanahalli,286
Quick Bites,Koramangala 1st Block,619
Quick Bites,Koramangala 4th Block,169
Quick Bites,Koramangala 5th Block,591
Quick Bites,Koramangala 6th Block,416
Quick Bites,Koramangala 7th Block,260
Quick Bites,Koramangala 8th Block,112
Quick Bites,Lavelle Road,46
Quick Bites,MG Road,169
Quick Bites,Malleshwaram,232
Quick Bites,Marathahalli,746
Quick Bites,New BEL Road,286
Quick Bites,Old Airport Road,170
Quick Bites,Rajajinagar,324
Quick Bites,Residency Road,118
Quick Bites,Richmond Road,319
Quick Bites,Sarjapur Road,381
Quick Bites,Shanti Nagar,201
Quick Bites,Shivajinagar,327
Quick Bites,St. Marks Road,82
Quick Bites,Ulsoor,374
Quick Bites,Whitefield,721
Quick Bites,others,1861
"Quick Bites, Bakery",Banashankari,2
"Quick Bites, Bakery",Brigade Road,17
"Quick Bites, Bakery",Frazer Town,4
"Quick Bites, Bakery",HSR,7
"Quick Bites, Bakery",Malleshwaram,7
"Quick Bites, Bakery",Richmond Road,17
"Quick Bites, Bakery",Shanti Nagar,6
"Quick Bites, Beverage Shop",BTM,18
"Quick Bites, Beverage Shop",Banashankari,2
"Quick Bites, Beverage Shop",Bellandur,2
"Quick Bites, Beverage Shop",Commercial Street,17
"Quick Bites, Beverage Shop",Electronic City,2
"Quick Bites, Beverage Shop",HSR,8
"Quick Bites, Beverage Shop",Indiranagar,11
"Quick Bites, Beverage Shop",JP Nagar,11
"Quick Bites, Beverage Shop",Koramangala 4th Block,4
"Quick Bites, Beverage Shop",Marathahalli,5
"Quick Bites, Beverage Shop",New BEL Road,8
"Quick Bites, Beverage Shop",Sarjapur Road,3
"Quick Bites, Beverage Shop",Whitefield,3
"Quick Bites, Beverage Shop",others,7
"Quick Bites, Cafe",Banashankari,3
"Quick Bites, Cafe",Banaswadi,4
"Quick Bites, Cafe",Bannerghatta Road,4
"Quick Bites, Cafe",JP Nagar,5
"Quick Bites, Cafe",Jayanagar,15
"Quick Bites, Cafe",Whitefield,9
"Quick Bites, Cafe",others,1
"Quick Bites, Dessert Parlor",BTM,17
"Quick Bites, Dessert Parlor",Bannerghatta Road,3
"Quick Bites, Dessert Parlor",Brigade Road,17
"Quick Bites, Dessert Parlor",Brookefield,7
"Quick Bites, Dessert Parlor",Electronic City,2
"Quick Bites, Dessert Parlor",Frazer Town,1
"Quick Bites, Dessert Parlor",HSR,5
"Quick Bites, Dessert Parlor",Jayanagar,10
"Quick Bites, Dessert Parlor",Marathahalli,9
"Quick Bites, Dessert Parlor",Sarjapur Road,6
"Quick Bites, Dessert Parlor",others,7
"Quick Bites, Food Court",Bellandur,3
"Quick Bites, Food Court",Koramangala 5th Block,8
"Quick Bites, Food Court",Malleshwaram,4
"Quick Bites, Food Court",Whitefield,3
"Quick Bites, Food Court",others,1
"Quick Bites, Kiosk",Kalyan Nagar,1
"Quick Bites, Meat Shop",Kalyan Nagar,4
"Quick Bites, Mess",Banaswadi,4
"Quick Bites, Sweet Shop",BTM,18
"Quick Bites, Sweet Shop",Bannerghatta Road,1
"Quick Bites, Sweet Shop",Bellandur,6
"Quick Bites, Sweet Shop",Electronic City,3
"Quick Bites, Sweet Shop",HSR,2
"Quick Bites, Sweet Shop",Indiranagar,7
"Quick Bites, Sweet Shop",JP Nagar,2
"Quick Bites, Sweet Shop",Koramangala 7th Block,19
"Quick Bites, Sweet Shop",Marathahalli,10
"Quick Bites, Sweet Shop",Sarjapur Road,5
"Quick Bites, Sweet Shop",others,2
Sweet Shop,BTM,50
Sweet Shop,Banashankari,18
Sweet Shop,Banaswadi,2
Sweet Shop,Bannerghatta Road,22
Sweet Shop,Basavanagudi,6
Sweet Shop,Bellandur,6
Sweet Shop,Brookefield,11
Sweet Shop,Commercial Street,31
Sweet Shop,Electronic City,8
Sweet Shop,Frazer Town,3
Sweet Shop,HSR,18
Sweet Shop,Indiranagar,14
Sweet Shop,JP Nagar,8
Sweet Shop,Jayanagar,40
Sweet Shop,Kammanahalli,9
Sweet Shop,Koramangala 1st Block,26
Sweet Shop,Koramangala 4th Block,5
Sweet Shop,Koramangala 5th Block,26
Sweet Shop,Koramangala 6th Block,10
Sweet Shop,Koramangala 8th Block,4
Sweet Shop,MG Road,5
Sweet Shop,Malleshwaram,18
Sweet Shop,Marathahalli,13
Sweet Shop,New BEL Road,1
Sweet Shop,Old Airport Road,5
Sweet Shop,Rajajinagar,9
Sweet Shop,Richmond Road,5
Sweet Shop,Sarjapur Road,4
Sweet Shop,Shivajinagar,6
Sweet Shop,Whitefield,27
Sweet Shop,others,58
"Sweet Shop, Dessert Parlor",Basavanagudi,1
"Sweet Shop, Quick Bites",BTM,26
"Sweet Shop, Quick Bites",Banashankari,5
"Sweet Shop, Quick Bites",Banaswadi,5
"Sweet Shop, Quick Bites",Bannerghatta Road,1
"Sweet Shop, Quick Bites",Basavanagudi,11
"Sweet Shop, Quick Bites",Bellandur,4
"Sweet Shop, Quick Bites",Brigade Road,8
"Sweet Shop, Quick Bites",Frazer Town,3
"Sweet Shop, Quick Bites",HSR,6
"Sweet Shop, Quick Bites",Indiranagar,6
"Sweet Shop, Quick Bites",JP Nagar,3
"Sweet Shop, Quick Bites",Jayanagar,8
"Sweet Shop, Quick Bites",Kalyan Nagar,4
"Sweet Shop, Quick Bites",Kammanahalli,5
"Sweet Shop, Quick Bites",Koramangala 6th Block,13
"Sweet Shop, Quick Bites",MG Road,11
"Sweet Shop, Quick Bites",Malleshwaram,3
"Sweet Shop, Quick Bites",Marathahalli,1
"Sweet Shop, Quick Bites",New BEL Road,1
"Sweet Shop, Quick Bites",Sarjapur Road,6
"Sweet Shop, Quick Bites",Ulsoor,4
"Sweet Shop, Quick Bites",Whitefield,12
"Sweet Shop, Quick Bites",others,32
Takeaway,BTM,26
Takeaway,Banashankari,3
Takeaway,Bannerghatta Road,1
Takeaway,Bellandur,2
Takeaway,Electronic City,2
Takeaway,HSR,9
Takeaway,Indiranagar,10
Takeaway,JP Nagar,12
Takeaway,Jayanagar,7
Takeaway,Koramangala 7th Block,4
Takeaway,MG Road,2
Takeaway,Sarjapur Road,3
Takeaway,Shanti Nagar,3
Takeaway,Whitefield,4
Takeaway,others,32
"Takeaway, Delivery",BTM,334
"Takeaway, Delivery",Banashankari,17
"Takeaway, Delivery",Banaswadi,22
"Takeaway, Delivery",Bannerghatta Road,60
"Takeaway, Delivery",Basavanagudi,4
"Takeaway, Delivery",Bellandur,65
"Takeaway, Delivery",Brigade Road,10
"Takeaway, Delivery",Brookefield,10
"Takeaway, Delivery",Commercial Street,6
"Takeaway, Delivery",Domlur,15
"Takeaway, Delivery",Ejipura,19
"Takeaway, Delivery",Electronic City,60
"Takeaway, Delivery",Frazer Town,40
"Takeaway, Delivery",HSR,243
"Takeaway, Delivery",Indiranagar,86
"Takeaway, Delivery",JP Nagar,125
"Takeaway, Delivery",Jayanagar,13
"Takeaway, Delivery",Kalyan Nagar,17
"Takeaway, Delivery",Kammanahalli,42
"Takeaway, Delivery",Koramangala 1st Block,98
"Takeaway, Delivery",Koramangala 4th Block,30
"Takeaway, Delivery",Koramangala 5th Block,48
"Takeaway, Delivery",Koramangala 6th Block,28
"Takeaway, Delivery",Koramangala 7th Block,31
"Takeaway, Delivery",Koramangala 8th Block,16
"Takeaway, Delivery",MG Road,12
"Takeaway, Delivery",Malleshwaram,6
"Takeaway, Delivery",Marathahalli,71
"Takeaway, Delivery",New BEL Road,16
"Takeaway, Delivery",Old Airport Road,17
"Takeaway, Delivery",Rajajinagar,24
"Takeaway, Delivery",Residency Road,22
"Takeaway, Delivery",Richmond Road,16
"Takeaway, Delivery",Sarjapur Road,31
"Takeaway, Delivery",Shanti Nagar,20
"Takeaway, Delivery",Shivajinagar,12
"Takeaway, Delivery",Ulsoor,21
"Takeaway, Delivery",Whitefield,103
"Takeaway, Delivery",others,222
